"uid" "id" "ensembleid" "symbol"
420 "948" "9606.ENSP00000308165" "CD36"
421 "949" "9606.ENSP00000261693" "SCARB1"
422 "952" "9606.ENSP00000226279" "CD38"
423 "954" "9606.ENSP00000347213" "ENTPD2"
424 "958" "9606.ENSP00000361359" "CD40"
425 "959" "9606.ENSP00000359663" "CD40LG"
426 "961" "9606.ENSP00000355361" "CD47"
427 "962" "9606.ENSP00000357025" "CD48"
428 "965" "9606.ENSP00000358501" "CD58"
429 "966" "9606.ENSP00000340210" "CD59"
430 "967" "9606.ENSP00000257857" "CD63"
431 "969" "9606.ENSP00000228434" "CD69"
432 "970" "9606.ENSP00000245903" "CD70"
433 "973" "9606.ENSP00000221972" "CD79A"
434 "974" "9606.ENSP00000376544" "CD79B"
435 "975" "9606.ENSP00000263645" "CD81"
436 "977" "9606.ENSP00000324101" "CD151"
437 "978" "9606.ENSP00000364212" "CDA"
438 "983" "9606.ENSP00000378699" "CDK1"
439 "988" "9606.ENSP00000360532" "CDC5L"
440 "990" "9606.ENSP00000209728" "CDC6"
441 "991" "9606.ENSP00000308450" "CDC20"
442 "993" "9606.ENSP00000303706" "CDC25A"
443 "994" "9606.ENSP00000245960" "CDC25B"
444 "995" "9606.ENSP00000321656" "CDC25C"
445 "996" "9606.ENSP00000434614" "CDC27"
446 "997" "9606.ENSP00000215574" "CDC34"
447 "998" "9606.ENSP00000314458" "CDC42"
448 "999" "9606.ENSP00000261769" "CDH1"
449 "1000" "9606.ENSP00000269141" "CDH2"
450 "1001" "9606.ENSP00000264012" "CDH3"
451 "1002" "9606.ENSP00000353656" "CDH4"
452 "1003" "9606.ENSP00000344115" "CDH5"
453 "1004" "9606.ENSP00000265071" "CDH6"
454 "1005" "9606.ENSP00000319166" "CDH7"
455 "1006" "9606.ENSP00000462701" "CDH8"
456 "1007" "9606.ENSP00000231021" "CDH9"
457 "1008" "9606.ENSP00000264463" "CDH10"
458 "1009" "9606.ENSP00000268603" "CDH11"
459 "1010" "9606.ENSP00000371689" "CDH12"
460 "1012" "9606.ENSP00000408632" "CDH13"
461 "1013" "9606.ENSP00000289746" "CDH15"
462 "1014" "9606.ENSP00000299752" "CDH16"
463 "1015" "9606.ENSP00000027335" "CDH17"
464 "1016" "9606.ENSP00000274170" "CDH18"
465 "1017" "9606.ENSP00000266970" "CDK2"
466 "1018" "9606.ENSP00000400088" "CDK3"
467 "1019" "9606.ENSP00000257904" "CDK4"
468 "1020" "9606.ENSP00000419782" "CDK5"
469 "1021" "9606.ENSP00000265734" "CDK6"
470 "1022" "9606.ENSP00000256443" "CDK7"
471 "1024" "9606.ENSP00000370938" "CDK8"
472 "1025" "9606.ENSP00000362361" "CDK9"
473 "1026" "9606.ENSP00000244741" "CDKN1A"
474 "1027" "9606.ENSP00000228872" "CDKN1B"
475 "1028" "9606.ENSP00000411552" "CDKN1C"
476 "1029" "9606.ENSP00000394932" "CDKN2A"
477 "1030" "9606.ENSP00000276925" "CDKN2B"
478 "1031" "9606.ENSP00000262662" "CDKN2C"
479 "1032" "9606.ENSP00000337056" "CDKN2D"
480 "1038" "9606.ENSP00000359563" "CDR1"
481 "1044" "9606.ENSP00000231656" "CDX1"
482 "1045" "9606.ENSP00000370408" "CDX2"
483 "1046" "9606.ENSP00000362613" "CDX4"
484 "1047" "9606.ENSP00000326699" "CLGN"
485 "1050" "9606.ENSP00000427514" "CEBPA"
486 "1051" "9606.ENSP00000305422" "CEBPB"
487 "1052" "9606.ENSP00000386165" "CEBPD"
488 "1053" "9606.ENSP00000206513" "CEBPE"
489 "1054" "9606.ENSP00000284000" "CEBPG"
490 "1058" "9606.ENSP00000336868" "CENPA"
491 "1059" "9606.ENSP00000369075" "CENPB"
492 "1062" "9606.ENSP00000265148" "CENPE"
493 "1063" "9606.ENSP00000355922" "CENPF"
494 "1066" "9606.ENSP00000353720" "CES1"
495 "1068" "9606.ENSP00000319052" "CETN1"
496 "1069" "9606.ENSP00000359300" "CETN2"
497 "1070" "9606.ENSP00000283122" "CETN3"
498 "1071" "9606.ENSP00000200676" "CETP"
499 "1072" "9606.ENSP00000309629" "CFL1"
500 "1073" "9606.ENSP00000298159" "CFL2"
501 "1080" "9606.ENSP00000003084" "CFTR"
502 "1081" "9606.ENSP00000358595" "CGA"
503 "1087" "9606.ENSP00000006724" "CEACAM7"
504 "1088" "9606.ENSP00000244336" "CEACAM8"
505 "1101" "9606.ENSP00000258969" "CHAD"
506 "1103" "9606.ENSP00000337103" "CHAT"
507 "1104" "9606.ENSP00000362937" "RCC1"
508 "1105" "9606.ENSP00000284049" "CHD1"
509 "1106" "9606.ENSP00000377747" "CHD2"
510 "1107" "9606.ENSP00000369716" "CHD3"
511 "1108" "9606.ENSP00000349508" "CHD4"
512 "1111" "9606.ENSP00000388648" "CHEK1"
513 "1112" "9606.ENSP00000261302" "FOXN3"
514 "1113" "9606.ENSP00000216492" "CHGA"
515 "1114" "9606.ENSP00000368244" "CHGB"
516 "1116" "9606.ENSP00000255409" "CHI3L1"
517 "1119" "9606.ENSP00000265689" "CHKA"
518 "1123" "9606.ENSP00000386741" "CHN1"
519 "1124" "9606.ENSP00000222792" "CHN2"
520 "1128" "9606.ENSP00000306490" "CHRM1"
521 "1129" "9606.ENSP00000319984" "CHRM2"
522 "1131" "9606.ENSP00000255380" "CHRM3"
523 "1132" "9606.ENSP00000409378" "CHRM4"
524 "1133" "9606.ENSP00000372750" "CHRM5"
525 "1134" "9606.ENSP00000261007" "CHRNA1"
526 "1136" "9606.ENSP00000315602" "CHRNA3"
527 "1137" "9606.ENSP00000359285" "CHRNA4"
528 "1139" "9606.ENSP00000407546" "CHRNA7"
529 "1140" "9606.ENSP00000304290" "CHRNB1"
530 "1141" "9606.ENSP00000357461" "CHRNB2"
531 "1143" "9606.ENSP00000261751" "CHRNB4"
