Entrez_Gene_ID	STRING_Locus_ID
1412	9606.ENSP00000295728
1413	9606.ENSP00000346805
1414	9606.ENSP00000215939
1415	9606.ENSP00000381273
1417	9606.ENSP00000215855
1418	9606.ENSP00000302105
1419	9606.ENSP00000260988
1420	9606.ENSP00000282141
1421	9606.ENSP00000264376
1427	9606.ENSP00000312099
1428	9606.ENSP00000219599
1429	9606.ENSP00000339399
1431	9606.ENSP00000342056
1432	9606.ENSP00000229794
1434	9606.ENSP00000262982
1435	9606.ENSP00000327513
1436	9606.ENSP00000286301
1437	9606.ENSP00000296871
1438	9606.ENSP00000394227
1439	9606.ENSP00000384053
1440	9606.ENSP00000225474
1441	9606.ENSP00000362195
1442	9606.ENSP00000316416
1443	9606.ENSP00000376623
1444	9606.ENSP00000309524
1445	9606.ENSP00000220003
1446	9606.ENSP00000246891
1447	9606.ENSP00000341030
1448	9606.ENSP00000304822
1452	9606.ENSP00000421689
1453	9606.ENSP00000324464
1454	9606.ENSP00000352929
1455	9606.ENSP00000255641
1456	9606.ENSP00000353904
1457	9606.ENSP00000217244
1459	9606.ENSP00000262506
1462	9606.ENSP00000265077
1463	9606.ENSP00000252575
1464	9606.ENSP00000312506
1465	9606.ENSP00000345079
1466	9606.ENSP00000310901
1468	9606.ENSP00000345580
1469	9606.ENSP00000305731
1470	9606.ENSP00000307540
1471	9606.ENSP00000366124
1472	9606.ENSP00000217423
1473	9606.ENSP00000307132
1474	9606.ENSP00000311313
1475	9606.ENSP00000264474
1476	9606.ENSP00000291568
1477	9606.ENSP00000217109
1478	9606.ENSP00000362063
1479	9606.ENSP00000315791
1482	9606.ENSP00000327758
1485	9606.ENSP00000332602
1486	9606.ENSP00000359664
