"uid" "id" "ensembleid" "symbol"
491 "988" "9606.ENSP00000360532" "CDC5L"
492 "989" "9606.ENSP00000381992" "SEPT7"
493 "990" "9606.ENSP00000209728" "CDC6"
494 "991" "9606.ENSP00000308450" "CDC20"
495 "993" "9606.ENSP00000303706" "CDC25A"
496 "994" "9606.ENSP00000245960" "CDC25B"
497 "995" "9606.ENSP00000321656" "CDC25C"
498 "996" "9606.ENSP00000434614" "CDC27"
499 "997" "9606.ENSP00000215574" "CDC34"
500 "998" "9606.ENSP00000314458" "CDC42"
501 "999" "9606.ENSP00000261769" "CDH1"
502 "1000" "9606.ENSP00000269141" "CDH2"
503 "1001" "9606.ENSP00000264012" "CDH3"
504 "1002" "9606.ENSP00000353656" "CDH4"
505 "1003" "9606.ENSP00000344115" "CDH5"
506 "1004" "9606.ENSP00000265071" "CDH6"
507 "1005" "9606.ENSP00000319166" "CDH7"
508 "1006" "9606.ENSP00000462701" "CDH8"
509 "1007" "9606.ENSP00000231021" "CDH9"
510 "1008" "9606.ENSP00000264463" "CDH10"
511 "1009" "9606.ENSP00000268603" "CDH11"
512 "1010" "9606.ENSP00000371689" "CDH12"
513 "1012" "9606.ENSP00000408632" "CDH13"
514 "1013" "9606.ENSP00000289746" "CDH15"
515 "1014" "9606.ENSP00000299752" "CDH16"
516 "1015" "9606.ENSP00000027335" "CDH17"
517 "1016" "9606.ENSP00000274170" "CDH18"
518 "1017" "9606.ENSP00000266970" "CDK2"
519 "1018" "9606.ENSP00000400088" "CDK3"
520 "1019" "9606.ENSP00000257904" "CDK4"
521 "1020" "9606.ENSP00000419782" "CDK5"
522 "1021" "9606.ENSP00000265734" "CDK6"
523 "1022" "9606.ENSP00000256443" "CDK7"
524 "1024" "9606.ENSP00000370938" "CDK8"
525 "1025" "9606.ENSP00000362361" "CDK9"
526 "1026" "9606.ENSP00000244741" "CDKN1A"
527 "1027" "9606.ENSP00000228872" "CDKN1B"
528 "1028" "9606.ENSP00000411552" "CDKN1C"
529 "1029" "9606.ENSP00000394932" "CDKN2A"
530 "1030" "9606.ENSP00000276925" "CDKN2B"
531 "1031" "9606.ENSP00000262662" "CDKN2C"
532 "1032" "9606.ENSP00000337056" "CDKN2D"
533 "1038" "9606.ENSP00000359563" "CDR1"
534 "1044" "9606.ENSP00000231656" "CDX1"
535 "1045" "9606.ENSP00000370408" "CDX2"
536 "1046" "9606.ENSP00000362613" "CDX4"
537 "1047" "9606.ENSP00000326699" "CLGN"
538 "1048" "9606.ENSP00000221992" "CEACAM5"
539 "1050" "9606.ENSP00000427514" "CEBPA"
540 "1051" "9606.ENSP00000305422" "CEBPB"
541 "1052" "9606.ENSP00000386165" "CEBPD"
542 "1053" "9606.ENSP00000206513" "CEBPE"
543 "1054" "9606.ENSP00000284000" "CEBPG"
544 "1056" "9606.ENSP00000361151" "CEL"
